account_id,platform,date,balance,equity,floating_pnl,credit,margin_level
AD4V30T9NT,cTrader,2025-08-03,46974.82,47041.68,66.86,0,104.98
AD4V30T9NT,cTrader,2025-08-04,46749.89,46822.55,22.66,50,267.48
AD4V30T9NT,cTrader,2025-08-05,47159.37,47403.74,194.37,50,109.48
AD4V30T9NT,cTrader,2025-08-06,47510.44,47701.93,141.49,50,215.8
AD4V30T9NT,cTrader,2025-08-07,47686.01,47691.17,5.16,0,176.24
AD4V30T9NT,cTrader,2025-08-08,47734.08,47708.36,-25.72,0,167.24
AD4V30T9NT,cTrader,2025-08-09,47877.59,48171.58,93.99,200,181.06
AD4V30T9NT,cTrader,2025-08-10,47943.73,48087.91,44.18,100,295.61
AD4V30T9NT,cTrader,2025-08-11,48060.95,47912.22,-198.73,50,155.14
AD4V30T9NT,cTrader,2025-08-12,48043.13,47884.15,-208.98,50,220.99
AD4V30T9NT,cTrader,2025-08-13,48449.56,48449.77,-49.79,50,193.35
ADKWNNHJ7X,MT5,2025-07-10,48668.96,48736.03,-132.93,200,141.29
ADKWNNHJ7X,MT5,2025-07-11,48769.78,48759.34,-10.44,0,108.32
ADKWNNHJ7X,MT5,2025-07-12,48562.73,48444.38,-118.35,0,218.14
ADKWNNHJ7X,MT5,2025-07-13,48330.66,48412.95,82.29,0,296.98
ADKWNNHJ7X,MT5,2025-07-14,48206.59,48283.69,77.1,0,196.88
ADKWNNHJ7X,MT5,2025-07-15,48220.39,48246.0,-24.39,50,236.94
ADKWNNHJ7X,MT5,2025-07-16,48245.88,48348.64,2.76,100,178.43
ADKWNNHJ7X,MT5,2025-07-17,48439.6,48283.97,-155.63,0,120.1
ADKWNNHJ7X,MT5,2025-07-18,48480.29,48595.63,115.34,0,131.31
ADKWNNHJ7X,MT5,2025-07-19,48524.96,48491.01,-33.95,0,189.66
ADKWNNHJ7X,MT5,2025-07-20,48102.82,48110.26,7.44,0,209.04
ADKWNNHJ7X,MT5,2025-07-21,47930.56,47938.11,-192.45,200,222.1
ADKWNNHJ7X,MT5,2025-07-22,48144.05,48159.78,-184.27,200,285.41
ADKWNNHJ7X,MT5,2025-07-23,48332.31,48362.37,-19.94,50,257.29
ADKWNNHJ7X,MT5,2025-07-24,47876.72,47943.38,16.66,50,259.76
ADKWNNHJ7X,MT5,2025-07-25,48058.29,48038.7,-69.59,50,238.06
ADKWNNHJ7X,MT5,2025-07-26,47951.77,47984.31,-167.46,200,121.15
ADKWNNHJ7X,MT5,2025-07-27,48475.11,48401.11,-74.0,0,196.56
ADKWNNHJ7X,MT5,2025-07-28,48114.13,48409.15,95.02,200,285.04
ADKWNNHJ7X,MT5,2025-07-29,48266.97,48352.11,85.14,0,200.69
ADKWNNHJ7X,MT5,2025-07-30,47930.0,47795.78,-134.22,0,110.54
ADKWNNHJ7X,MT5,2025-07-31,47975.93,48255.24,229.31,50,284.5
ADKWNNHJ7X,MT5,2025-08-01,47855.05,47890.57,35.52,0,163.43
ADKWNNHJ7X,MT5,2025-08-02,47734.25,47851.77,17.52,100,110.75
ADKWNNHJ7X,MT5,2025-08-03,47804.88,47798.04,-56.84,50,259.21
ADKWNNHJ7X,MT5,2025-08-04,47922.55,48050.32,27.77,100,209.43
ADKWNNHJ7X,MT5,2025-08-05,48337.63,48339.22,-48.41,50,198.75
ADKWNNHJ7X,MT5,2025-08-06,48719.03,48913.72,194.69,0,164.46
ADKWNNHJ7X,MT5,2025-08-07,48403.13,48539.52,86.39,50,174.94
ADKWNNHJ7X,MT5,2025-08-08,48422.25,48539.89,117.64,0,254.69
ADKWNNHJ7X,MT5,2025-08-09,48246.08,48357.14,61.06,50,113.37
ADKWNNHJ7X,MT5,2025-08-10,48700.22,48593.92,-106.3,0,
ADKWNNHJ7X,MT5,2025-08-11,48536.82,48733.38,146.56,50,102.64
ADKWNNHJ7X,MT5,2025-08-12,48617.23,48598.96,-218.27,200,167.4
ADKWNNHJ7X,MT5,2025-08-13,48752.39,48809.07,-43.32,100,238.41
AL1C32OC6U,cTrader,2025-07-10,32236.81,32313.47,26.66,50,261.9
AL1C32OC6U,cTrader,2025-07-11,32612.17,32604.87,-7.3,0,113.74
AL1C32OC6U,cTrader,2025-07-12,32677.45,32689.25,11.8,0,239.74
AL1C32OC6U,cTrader,2025-07-13,33206.16,33248.01,-58.15,100,85.06
AL1C32OC6U,cTrader,2025-07-14,33247.08,33327.2,80.12,0,
AL1C32OC6U,cTrader,2025-07-15,33381.57,33359.59,-21.98,0,107.43
AL1C32OC6U,cTrader,2025-07-16,33287.51,33656.52,169.01,200,243.73
AL1C32OC6U,cTrader,2025-07-17,33392.3,33433.45,41.15,0,167.6
AL1C32OC6U,cTrader,2025-07-18,33266.22,33320.99,54.77,0,185.78
AL1C32OC6U,cTrader,2025-07-19,33280.88,33341.62,10.74,50,110.99
AL1C32OC6U,cTrader,2025-07-20,33435.97,33635.53,-0.44,200,159.73
AL1C32OC6U,cTrader,2025-07-21,33172.14,33394.81,122.67,100,193.34
AL1C32OC6U,cTrader,2025-07-22,33397.45,33494.98,-2.47,100,98.78
AL1C32OC6U,cTrader,2025-07-23,33483.34,33483.39,0.05,0,167.41
AL1C32OC6U,cTrader,2025-07-24,33514.99,33805.46,90.47,200,163.1
AL1C32OC6U,cTrader,2025-07-25,33449.07,33469.35,20.28,0,179.72
AL1C32OC6U,cTrader,2025-07-26,33682.37,33503.79,-178.58,0,248.38
AL1C32OC6U,cTrader,2025-07-27,33900.67,33930.42,-20.25,50,139.56
AL1C32OC6U,cTrader,2025-07-28,33757.51,33782.53,-74.98,100,270.74
AL1C32OC6U,cTrader,2025-07-29,34107.96,34241.33,83.37,50,227.82
AL1C32OC6U,cTrader,2025-07-30,33673.1,33637.78,-35.32,0,238.58
AL1C32OC6U,cTrader,2025-07-31,33770.97,33955.38,84.41,100,111.04
AL1C32OC6U,cTrader,2025-08-01,33855.03,33740.38,-114.65,0,
AL1C32OC6U,cTrader,2025-08-02,33674.92,33562.46,-112.46,0,217.45
AL1C32OC6U,cTrader,2025-08-03,34027.86,34146.26,68.4,50,138.97
AL1C32OC6U,cTrader,2025-08-04,33926.37,33839.49,-86.88,0,144.78
AL1C32OC6U,cTrader,2025-08-05,34277.33,34343.95,66.62,0,192.74
AL1C32OC6U,cTrader,2025-08-06,34271.14,34330.75,59.61,0,110.66
AL1C32OC6U,cTrader,2025-08-07,34482.56,34593.7,-88.86,200,
AL1C32OC6U,cTrader,2025-08-08,34502.72,34390.27,-112.45,0,189.44
AL1C32OC6U,cTrader,2025-08-09,34613.09,34774.23,-38.86,200,138.63
AL1C32OC6U,cTrader,2025-08-10,34675.93,34813.06,-62.87,200,118.58
AL1C32OC6U,cTrader,2025-08-11,34844.82,34933.8,-11.02,100,172.85
AL1C32OC6U,cTrader,2025-08-12,35006.14,35032.16,26.02,0,212.69
AL1C32OC6U,cTrader,2025-08-13,34982.46,34989.68,-42.78,50,238.19
AT0PVN9ER1,MT5,2025-07-10,15207.52,15378.64,-28.88,200,139.38
AT0PVN9ER1,MT5,2025-07-11,15734.0,15795.23,-38.77,100,
AT0PVN9ER1,MT5,2025-07-12,15763.05,15843.76,80.71,0,184.33
AT0PVN9ER1,MT5,2025-07-13,15743.84,15703.91,-39.93,0,231.45
AT0PVN9ER1,MT5,2025-07-14,15478.01,15479.78,-48.23,50,
AT0PVN9ER1,MT5,2025-07-15,15397.93,15428.29,30.36,0,289.05
AT0PVN9ER1,MT5,2025-07-16,15279.04,15288.72,-40.32,50,257.44
AT0PVN9ER1,MT5,2025-07-17,15233.79,15272.98,39.19,0,222.27
AT0PVN9ER1,MT5,2025-07-18,15446.23,15437.48,-8.75,0,
AT0PVN9ER1,MT5,2025-07-19,15470.64,15483.93,13.29,0,281.41
AT0PVN9ER1,MT5,2025-07-20,15512.18,15526.04,13.86,0,254.98
AT0PVN9ER1,MT5,2025-07-21,15469.53,15511.5,41.97,0,160.23
AT0PVN9ER1,MT5,2025-07-22,14927.03,14951.48,-25.55,50,154.77
AT0PVN9ER1,MT5,2025-07-23,15475.41,15467.33,-8.08,0,225.56
AT0PVN9ER1,MT5,2025-07-24,15502.41,15706.91,4.5,200,131.25
AT0PVN9ER1,MT5,2025-07-25,15845.12,15917.73,22.61,50,
AT0PVN9ER1,MT5,2025-07-26,15854.52,16036.89,82.37,100,249.02
AT0PVN9ER1,MT5,2025-07-27,15724.45,15871.56,-52.89,200,80.74
AT0PVN9ER1,MT5,2025-07-28,15372.73,15315.5,-57.23,0,131.39
AT0PVN9ER1,MT5,2025-07-29,15312.78,15311.72,-1.06,0,107.38
AT0PVN9ER1,MT5,2025-07-30,15359.62,15426.92,17.3,50,297.62
AT0PVN9ER1,MT5,2025-07-31,15053.11,15150.19,-2.92,100,130.73
AT0PVN9ER1,MT5,2025-08-01,15063.97,15060.11,-3.86,0,251.51
AT0PVN9ER1,MT5,2025-08-02,14963.74,14948.9,-14.84,0,211.4
AT0PVN9ER1,MT5,2025-08-03,14930.12,14929.39,-50.73,50,233.12
AT0PVN9ER1,MT5,2025-08-04,14965.6,15175.88,10.28,200,198.13
AT0PVN9ER1,MT5,2025-08-05,14890.29,14936.38,46.09,0,166.06
AT0PVN9ER1,MT5,2025-08-06,15249.47,15293.95,-5.52,50,269.67
AT0PVN9ER1,MT5,2025-08-07,14897.1,15113.29,16.19,200,141.91
AT0PVN9ER1,MT5,2025-08-08,15113.82,15106.7,-7.12,0,128.44
AT0PVN9ER1,MT5,2025-08-09,15134.25,15118.58,-15.67,0,
AT0PVN9ER1,MT5,2025-08-10,15179.01,15230.32,1.31,50,156.52
AT0PVN9ER1,MT5,2025-08-11,15385.1,15606.08,20.98,200,194.68
AT0PVN9ER1,MT5,2025-08-12,15754.44,15792.52,-11.92,50,235.84
AT0PVN9ER1,MT5,2025-08-13,15863.8,15879.74,15.94,0,233.78
AJT7YE511M,cTrader,2025-07-10,9866.47,9887.0,20.53,0,153.73
AJT7YE511M,cTrader,2025-07-11,9847.52,9933.94,-13.58,100,246.46
AJT7YE511M,cTrader,2025-07-12,9946.51,10130.95,-15.56,200,295.86
AJT7YE511M,cTrader,2025-07-13,9823.51,9896.79,-26.72,100,
AJT7YE511M,cTrader,2025-07-14,9972.76,10018.35,-4.41,50,199.08
AJT7YE511M,cTrader,2025-07-15,10010.7,10108.79,-1.91,100,245.81
AJT7YE511M,cTrader,2025-07-16,10066.5,10155.32,-11.18,100,
AJT7YE511M,cTrader,2025-07-17,10164.86,10186.69,21.83,0,156.09
AJT7YE511M,cTrader,2025-07-18,9959.56,9950.0,-9.56,0,228.73
AJT7YE511M,cTrader,2025-07-19,9985.12,10125.47,40.35,100,85.41
AJT7YE511M,cTrader,2025-07-20,9837.15,9867.95,30.8,0,
AJT7YE511M,cTrader,2025-07-21,9824.0,9921.78,-2.22,100,179.31
AJT7YE511M,cTrader,2025-07-22,9579.01,9787.44,8.43,200,264.79
AJT7YE511M,cTrader,2025-07-23,9478.6,9514.89,-13.71,50,289.19
AJT7YE511M,cTrader,2025-07-24,9624.83,9820.55,-4.28,200,268.62
AJT7YE511M,cTrader,2025-07-25,9395.44,9360.74,-34.7,0,130.59
AJT7YE511M,cTrader,2025-07-26,9282.11,9358.88,-23.23,100,293.0
AJT7YE511M,cTrader,2025-07-27,9570.86,9776.02,5.16,200,179.81
AJT7YE511M,cTrader,2025-07-28,9524.85,9717.8,-7.05,200,87.16
AJT7YE511M,cTrader,2025-07-29,9529.51,9533.26,3.75,0,
AJT7YE511M,cTrader,2025-07-30,9671.31,9803.0,31.69,100,124.12
AJT7YE511M,cTrader,2025-07-31,9971.52,10156.75,-14.77,200,255.46
AJT7YE511M,cTrader,2025-08-01,9968.66,10159.76,-8.9,200,
AJT7YE511M,cTrader,2025-08-02,9590.75,9632.07,-8.68,50,269.23
AJT7YE511M,cTrader,2025-08-03,9105.97,9088.36,-17.61,0,205.6
AJT7YE511M,cTrader,2025-08-04,9096.43,9196.17,-0.26,100,203.12
AJT7YE511M,cTrader,2025-08-05,9019.79,9203.98,-15.81,200,261.39
AJT7YE511M,cTrader,2025-08-06,9027.32,9002.31,-25.01,0,256.13
AJT7YE511M,cTrader,2025-08-07,8805.86,8797.17,-8.69,0,107.33
AJT7YE511M,cTrader,2025-08-08,8716.86,8720.53,3.67,0,
AJT7YE511M,cTrader,2025-08-09,8892.92,8925.15,32.23,0,252.35
AJT7YE511M,cTrader,2025-08-10,8964.51,9008.5,-6.01,50,200.47
AJT7YE511M,cTrader,2025-08-11,9447.19,9493.45,-3.74,50,
AJT7YE511M,cTrader,2025-08-12,9710.65,9706.34,-4.31,0,
AJT7YE511M,cTrader,2025-08-13,9467.75,9655.42,-12.33,200,152.38
A65KXVF1T2,MT5,2025-07-10,23774.04,24001.2,27.16,200,189.6
A65KXVF1T2,MT5,2025-07-11,23849.09,24131.49,82.4,200,294.45
A65KXVF1T2,MT5,2025-07-12,23936.35,23932.36,-53.99,50,172.05
A65KXVF1T2,MT5,2025-07-13,24049.21,24072.41,23.2,0,239.98
A65KXVF1T2,MT5,2025-07-14,23965.23,24042.07,-23.16,100,248.9
A65KXVF1T2,MT5,2025-07-15,24280.03,24480.8,150.77,50,176.5
A65KXVF1T2,MT5,2025-07-16,24349.51,24344.38,-5.13,0,254.45
A65KXVF1T2,MT5,2025-07-17,24705.68,24711.79,-43.89,50,218.94
A65KXVF1T2,MT5,2025-07-18,24433.07,24502.5,-30.57,100,119.53
A65KXVF1T2,MT5,2025-07-19,24512.23,24728.1,15.87,200,101.43
A65KXVF1T2,MT5,2025-07-20,24453.93,24532.67,78.74,0,100.96
A65KXVF1T2,MT5,2025-07-21,24124.77,24160.84,-63.93,100,224.48
A65KXVF1T2,MT5,2025-07-22,24339.38,24493.3,53.92,100,179.83
A65KXVF1T2,MT5,2025-07-23,24197.76,24201.48,3.72,0,112.07
A65KXVF1T2,MT5,2025-07-24,23941.16,24146.01,104.85,100,116.75
A65KXVF1T2,MT5,2025-07-25,23689.18,23929.31,40.13,200,235.18
A65KXVF1T2,MT5,2025-07-26,23933.68,24086.08,52.4,100,87.52
A65KXVF1T2,MT5,2025-07-27,23901.44,24042.29,-59.15,200,149.55
A65KXVF1T2,MT5,2025-07-28,24027.29,23999.0,-28.29,0,185.58
A65KXVF1T2,MT5,2025-07-29,24029.15,24004.93,-74.22,50,226.71
A65KXVF1T2,MT5,2025-07-30,24129.84,24183.32,53.48,0,115.72
A65KXVF1T2,MT5,2025-07-31,23921.86,24150.57,28.71,200,270.99
A65KXVF1T2,MT5,2025-08-01,23759.85,23785.85,26.0,0,83.85
A65KXVF1T2,MT5,2025-08-02,23576.42,23607.94,31.52,0,
A65KXVF1T2,MT5,2025-08-03,23473.04,23482.31,9.27,0,286.99
A65KXVF1T2,MT5,2025-08-04,23562.89,23586.73,23.84,0,224.73
A65KXVF1T2,MT5,2025-08-05,23760.96,23957.91,-3.05,200,204.74
A65KXVF1T2,MT5,2025-08-06,23826.71,24053.61,26.9,200,283.65
A65KXVF1T2,MT5,2025-08-07,23897.82,24140.91,43.09,200,175.83
A65KXVF1T2,MT5,2025-08-08,23870.05,23862.89,-7.16,0,218.65
A65KXVF1T2,MT5,2025-08-09,23895.17,24001.16,55.99,50,178.71
A65KXVF1T2,MT5,2025-08-10,24300.84,24369.79,-31.05,100,
A65KXVF1T2,MT5,2025-08-11,24036.22,23979.09,-57.13,0,190.1
A65KXVF1T2,MT5,2025-08-12,24098.64,24128.64,30.0,0,85.64
A65KXVF1T2,MT5,2025-08-13,24110.32,24054.54,-55.78,0,134.14
AIUC039TEX,MT5,2025-07-10,24096.43,24145.7,49.27,0,194.67
AIUC039TEX,MT5,2025-07-11,23659.29,23846.49,-12.8,200,133.57
AIUC039TEX,MT5,2025-07-12,23911.65,23902.62,-9.03,0,215.82
AIUC039TEX,MT5,2025-07-13,24022.26,24320.71,98.45,200,198.62
AIUC039TEX,MT5,2025-07-14,24077.88,24122.1,44.22,0,294.88
AIUC039TEX,MT5,2025-07-15,23763.78,23868.13,4.35,100,195.54
AIUC039TEX,MT5,2025-07-16,24026.66,23997.76,-28.9,0,281.91
AIUC039TEX,MT5,2025-07-17,24090.62,24050.99,-39.63,0,195.83
AIUC039TEX,MT5,2025-07-18,24060.55,24172.46,11.91,100,126.65
AIUC039TEX,MT5,2025-07-19,24510.64,24641.88,-68.76,200,249.39
AIUC039TEX,MT5,2025-07-20,24860.56,24880.1,-80.46,100,260.98
AIUC039TEX,MT5,2025-07-21,24935.57,25026.31,90.74,0,112.93
AIUC039TEX,MT5,2025-07-22,24769.93,24713.35,-56.58,0,269.82
AIUC039TEX,MT5,2025-07-23,24719.87,24910.71,-9.16,200,213.56
AIUC039TEX,MT5,2025-07-24,24693.91,24818.0,-75.91,200,189.29
AIUC039TEX,MT5,2025-07-25,24747.46,24907.68,-39.78,200,232.34
AIUC039TEX,MT5,2025-07-26,25075.28,25090.46,15.18,0,249.98
AIUC039TEX,MT5,2025-07-27,24968.45,25108.88,40.43,100,151.14
AIUC039TEX,MT5,2025-07-28,24706.45,24774.37,-32.08,100,263.01
AIUC039TEX,MT5,2025-07-29,24461.66,24636.18,-25.48,200,210.42
AIUC039TEX,MT5,2025-07-30,24502.75,24449.08,-53.67,0,227.29
AIUC039TEX,MT5,2025-07-31,24649.35,24831.81,82.46,100,
AIUC039TEX,MT5,2025-08-01,24733.15,24960.77,27.62,200,246.06
AIUC039TEX,MT5,2025-08-02,24748.35,24732.17,-16.18,0,80.27
AIUC039TEX,MT5,2025-08-03,24510.4,24495.91,-114.49,100,84.41
AIUC039TEX,MT5,2025-08-04,24410.54,24452.79,42.25,0,194.61
AIUC039TEX,MT5,2025-08-05,24563.36,24526.56,-36.8,0,191.5
AIUC039TEX,MT5,2025-08-06,24608.43,24794.12,-14.31,200,99.28
AIUC039TEX,MT5,2025-08-07,24526.87,24581.15,4.28,50,141.53
AIUC039TEX,MT5,2025-08-08,24668.49,24790.64,22.15,100,125.87
AIUC039TEX,MT5,2025-08-09,24562.39,24540.84,-21.55,0,257.3
AIUC039TEX,MT5,2025-08-10,24795.65,24762.52,-33.13,0,85.04
AIUC039TEX,MT5,2025-08-11,24994.06,25072.36,-21.7,100,285.2
AIUC039TEX,MT5,2025-08-12,24885.3,24849.36,-35.94,0,187.15
AIUC039TEX,MT5,2025-08-13,25411.14,25681.79,70.65,200,289.62
AL9XPSEIMV,MT5,2025-07-10,41347.44,41481.32,-66.12,200,
AL9XPSEIMV,MT5,2025-07-11,41417.75,41559.81,42.06,100,191.35
AL9XPSEIMV,MT5,2025-07-12,41428.55,41550.72,-77.83,200,
AL9XPSEIMV,MT5,2025-07-13,41399.73,41312.58,-137.15,50,122.19
AL9XPSEIMV,MT5,2025-07-14,41651.02,41644.43,-6.59,0,
AL9XPSEIMV,MT5,2025-07-15,41354.96,41308.34,-46.62,0,138.39
AL9XPSEIMV,MT5,2025-07-16,41272.77,41318.05,45.28,0,299.27
AL9XPSEIMV,MT5,2025-07-17,41088.28,41224.19,35.91,100,224.26
AL9XPSEIMV,MT5,2025-07-18,41326.41,41565.31,38.9,200,178.95
AL9XPSEIMV,MT5,2025-07-19,41472.43,41530.37,-42.06,100,118.92
AL9XPSEIMV,MT5,2025-07-20,41238.22,41272.71,34.49,0,172.09
AL9XPSEIMV,MT5,2025-07-21,41217.86,41249.76,31.9,0,216.17
AL9XPSEIMV,MT5,2025-07-22,41491.39,41769.0,77.61,200,256.34
AL9XPSEIMV,MT5,2025-07-23,41392.64,41441.37,-1.27,50,222.14
AL9XPSEIMV,MT5,2025-07-24,41508.5,41563.82,-144.68,200,113.01
AL9XPSEIMV,MT5,2025-07-25,41507.51,41654.49,96.98,50,166.78
AL9XPSEIMV,MT5,2025-07-26,41334.93,41656.55,121.62,200,102.47
AL9XPSEIMV,MT5,2025-07-27,41293.07,41331.48,38.41,0,136.03
AL9XPSEIMV,MT5,2025-07-28,41326.4,41369.1,-7.3,50,165.0
AL9XPSEIMV,MT5,2025-07-29,41510.67,41385.36,-125.31,0,
AL9XPSEIMV,MT5,2025-07-30,41455.52,41456.75,-98.77,100,229.65
AL9XPSEIMV,MT5,2025-07-31,41468.06,41487.76,-30.3,50,
AL9XPSEIMV,MT5,2025-08-01,41505.0,41443.18,-111.82,50,287.31
AL9XPSEIMV,MT5,2025-08-02,41310.68,41260.21,-50.47,0,225.27
AL9XPSEIMV,MT5,2025-08-03,41549.59,41584.63,-64.96,100,252.15
AL9XPSEIMV,MT5,2025-08-04,41725.51,41653.63,-71.88,0,196.67
AL9XPSEIMV,MT5,2025-08-05,41549.42,41495.94,-53.48,0,208.13
AL9XPSEIMV,MT5,2025-08-06,41734.99,41897.24,62.25,100,89.62
AL9XPSEIMV,MT5,2025-08-07,41853.68,41872.93,19.25,0,175.06
AL9XPSEIMV,MT5,2025-08-08,41672.02,41943.39,171.37,100,106.73
AL9XPSEIMV,MT5,2025-08-09,41451.38,41668.83,17.45,200,259.51
AL9XPSEIMV,MT5,2025-08-10,41418.47,41604.63,-13.84,200,295.25
AL9XPSEIMV,MT5,2025-08-11,41474.99,41605.89,30.9,100,
AL9XPSEIMV,MT5,2025-08-12,41794.81,41888.83,94.02,0,89.5
AL9XPSEIMV,MT5,2025-08-13,41634.93,41727.07,-7.86,100,126.97
ASKRT05UIR,cTrader,2025-07-10,25539.71,25614.97,25.26,50,243.55
ASKRT05UIR,cTrader,2025-07-11,25684.43,25840.31,-44.12,200,206.98
ASKRT05UIR,cTrader,2025-07-12,25733.22,25724.03,-9.19,0,258.59
ASKRT05UIR,cTrader,2025-07-13,25936.73,26064.7,27.97,100,168.33
ASKRT05UIR,cTrader,2025-07-14,26005.06,25974.87,-30.19,0,259.33
ASKRT05UIR,cTrader,2025-07-15,26122.78,26403.47,80.69,200,195.32
ASKRT05UIR,cTrader,2025-07-16,26311.82,26423.97,12.15,100,124.55
ASKRT05UIR,cTrader,2025-07-17,26359.1,26402.72,-6.38,50,265.23
ASKRT05UIR,cTrader,2025-07-18,26443.01,26455.25,12.24,0,178.69
ASKRT05UIR,cTrader,2025-07-19,25772.69,25853.05,30.36,50,225.87
ASKRT05UIR,cTrader,2025-07-20,25840.43,25818.92,-21.51,0,185.81
ASKRT05UIR,cTrader,2025-07-21,25604.27,25575.38,-28.89,0,203.35
ASKRT05UIR,cTrader,2025-07-22,25641.18,25724.82,83.64,0,85.05
ASKRT05UIR,cTrader,2025-07-23,25832.47,25938.8,56.33,50,
ASKRT05UIR,cTrader,2025-07-24,25548.27,25805.29,57.02,200,193.8
ASKRT05UIR,cTrader,2025-07-25,25418.42,25360.38,-58.04,0,99.49
ASKRT05UIR,cTrader,2025-07-26,25379.69,25454.06,24.37,50,241.4
ASKRT05UIR,cTrader,2025-07-27,25106.6,25162.46,-44.14,100,119.22
ASKRT05UIR,cTrader,2025-07-28,24998.61,25041.11,42.5,0,120.58
ASKRT05UIR,cTrader,2025-07-29,25173.75,25302.72,-71.03,200,208.88
ASKRT05UIR,cTrader,2025-07-30,24938.86,25072.64,83.78,50,286.95
ASKRT05UIR,cTrader,2025-07-31,25085.84,25112.46,-23.38,50,181.58
ASKRT05UIR,cTrader,2025-08-01,24766.9,24832.46,-134.44,200,218.86
ASKRT05UIR,cTrader,2025-08-02,24607.0,24711.92,4.92,100,114.96
ASKRT05UIR,cTrader,2025-08-03,24636.19,24687.0,-49.19,100,290.46
ASKRT05UIR,cTrader,2025-08-04,24696.55,24698.32,-48.23,50,253.17
ASKRT05UIR,cTrader,2025-08-05,24518.06,24514.8,-3.26,0,138.99
ASKRT05UIR,cTrader,2025-08-06,24567.12,24625.67,8.55,50,
ASKRT05UIR,cTrader,2025-08-07,24533.27,24414.32,-118.95,0,200.63
ASKRT05UIR,cTrader,2025-08-08,24710.08,24767.4,57.32,0,295.5
ASKRT05UIR,cTrader,2025-08-09,24634.7,24856.67,21.97,200,182.07
ASKRT05UIR,cTrader,2025-08-10,24494.05,24497.97,3.92,0,84.85
ASKRT05UIR,cTrader,2025-08-11,24563.63,24533.79,-29.84,0,203.47
ASKRT05UIR,cTrader,2025-08-12,24889.49,24838.92,-50.57,0,199.36
ASKRT05UIR,cTrader,2025-08-13,24901.83,24913.75,11.92,0,180.83
A9DOM5IGQP,cTrader,2025-07-10,24492.47,24513.85,21.38,0,181.24
A9DOM5IGQP,cTrader,2025-07-11,24673.26,24731.68,-41.58,100,295.17
A9DOM5IGQP,cTrader,2025-07-12,24873.87,25073.19,-0.68,200,152.65
A9DOM5IGQP,cTrader,2025-07-13,25165.34,25371.51,6.17,200,115.56
A9DOM5IGQP,cTrader,2025-07-14,25490.28,25570.96,80.68,0,
A9DOM5IGQP,cTrader,2025-07-15,25566.25,25663.13,-3.12,100,189.52
A9DOM5IGQP,cTrader,2025-07-16,25419.08,25434.27,15.19,0,100.55
A9DOM5IGQP,cTrader,2025-07-17,25268.72,25300.12,-68.6,100,143.17
A9DOM5IGQP,cTrader,2025-07-18,25216.16,25434.45,18.29,200,221.39
A9DOM5IGQP,cTrader,2025-07-19,25489.84,25449.16,-140.68,100,214.96
A9DOM5IGQP,cTrader,2025-07-20,25702.51,25793.06,40.55,50,110.96
A9DOM5IGQP,cTrader,2025-07-21,25648.13,25820.1,-28.03,200,260.48
A9DOM5IGQP,cTrader,2025-07-22,25544.99,25646.26,51.27,50,256.79
A9DOM5IGQP,cTrader,2025-07-23,25419.41,25645.91,26.5,200,226.94
A9DOM5IGQP,cTrader,2025-07-24,25420.57,25366.56,-54.01,0,115.69
A9DOM5IGQP,cTrader,2025-07-25,25506.23,25507.9,1.67,0,
A9DOM5IGQP,cTrader,2025-07-26,25452.85,25627.29,-25.56,200,154.1
