trade_id,platform,account_id,client_external_id,symbol,side,volume,open_time,close_time,open_price,close_price,commission,realized_pnl,book_flag,counterparty,quote_currency,status
T7ZSEDFQS3D,MT5,AGOG72OY0I,EXT00009,EURUSD,SELL,0.1,2025-08-02T09:17:04Z,2025-08-09T02:53:22Z,2176.14252,2174.11337,0.0,0.81,B,LP_MAIN,USD,CLOSED
T57OONNCILD,MT5,AY6452H2ZQ,EXT00011,XCUUSD.m,BUY,2.0,2025-07-26T03:29:02Z,2025-08-06T02:22:05Z,194.15644,193.75203,-5.0,-8.35,B,B2Prime,EUR,CLOSED
TEK3ZEZQACJ,cTrader,AC89K8YQK9,EXT00029,UKOIL,SELL,10.0,2025-07-31T15:25:57Z,2025-08-04T04:35:44Z,2324.57291,2324.51965,-0.5,-37.88,B,LP_TEST,GBP,CLOSED
T7VP1IEIXWC,cTrader,AXEBB9EITN,EXT00032,ETHUSD,SELL,500.0,2025-07-22T14:59:38Z,2025-08-04T22:46:43Z,2220.92621,2216.08353,2.0,197054.18,B,B2Prime,USD,CLOSED
TTWUZKAMUGY,cTrader,AQ3VLI7KQ1,EXT00017,AUDUSD,B,0.1,2025-08-08T15:08:03Z,2025-08-12T06:07:26Z,129.83563,129.76157,-1.5,0.07,A,B2Prime,EUR,CLOSED
TCSS9TOQW9J,cTrader,AC89K8YQK9,EXT00029,NAS100,S,1.0,2025-08-09T18:41:41Z,2025-08-11T23:17:41Z,1295.94417,1298.42595,-1.5,135.02,A,B2Prime,USD,CLOSED
T2M0W10LBT3,MT5,AMCIKPTK93,EXT00007,UKOIL.m,BUY,1.0,2025-07-16T03:42:52Z,2025-08-02T11:50:32Z,513.08517,513.16298,-10.0,6.29,B,B2Prime,GBP,CLOSED
T2QZW3C1QKB,cTrader,AXEBB9EITN,EXT00032,GBPUSD,BUY,0.05,2025-07-23T20:47:05Z,2025-08-13T00:36:05Z,1883.3378,1876.67422,0.0,33.17,B,B2Prime,EUR,CLOSED
TLLO3RBXK5B,cTrader,AU2GC5WI6F,EXT00029,XCUUSD,sell,5.0,2025-07-25T01:11:25Z,2025-07-26T01:41:08Z,2374.54858,2380.42497,-1.5,-2441.62,A,LP_MAIN,USD,CLOSED
TEN606N9RR7,MT5,AKTAKPUXQP,EXT00010,US30.m,SELL,0.05,2025-07-31T11:30:41Z,2025-08-07T02:45:17Z,965.31595,964.81838,-10.0,-2.05,B,B2Prime,EUR,CLOSED
T20CV3TLCXL,cTrader,AXEBB9EITN,EXT00032,ETHUSD,sell,0.01,2025-08-09T13:47:28Z,2025-08-11T04:43:06Z,2233.12326,2239.44633,-10.0,-2.88,A,LP_MAIN,USD,CLOSED
TPYMB5M9J98,MT5,ANFHOLQC3O,EXT00013,XAUUSD.m,sell,50.0,2025-08-13T14:53:46Z,2025-08-14T04:02:38Z,590.56436,591.77027,0.0,-1150.29,A,B2Prime,GBP,OPEN
TN2Y8FV2BC2,cTrader,AWWYZX4W6X,EXT00030,UKOIL,buy,100.0,2025-07-19T00:13:13Z,2025-08-07T17:34:22Z,1070.53744,1070.14327,-3.0,-1983.58,B,LP_TEST,GBP,CLOSED
TNUVY8N1UTO,MT5,AX8BM92H3T,EXT00032,NAS100.m,buy,0.01,2025-08-02T03:35:40Z,2025-08-10T22:38:44Z,1409.88197,1407.03143,-3.0,2.07,B,LP_MAIN,EUR,OPEN
T8AGS6E1ZHW,cTrader,AA5UOFWB0H,EXT00036,WTI,BUY,1.0,2025-07-28T21:29:17Z,2025-08-03T22:58:50Z,2024.14367,2023.66116,0.0,-41.75,B,B2Prime,GBP,CLOSED
TE4Q6QDY4LM,MT5,AU9K9XJUY0,EXT00029,NAS100.m,SELL,0.05,2025-08-08T05:04:50Z,2025-08-10T15:28:12Z,1851.42116,1852.98004,0.0,6.93,B,B2Prime,EUR,CLOSED
TT64Z7W2SEH,MT5,A7HZIOYKL1,EXT00006,ETHUSD.m,SELL,50.0,2025-07-18T12:27:02Z,2025-08-14T05:19:37Z,476.93494,477.88764,-3.0,-3446.22,B,LP_TEST,GBP,CLOSED
T2ATN2TWDL9,MT5,A7HZIOYKL1,EXT00006,GBPUSD,sell,10.0,2025-07-22T02:35:39Z,2025-07-27T20:35:10Z,236.68732,237.2473,-5.0,550.7,B,LP_MAIN,USD,CLOSED
TOOUELCQSE3,cTrader,A7KYHQIN9N,EXT00032,XAUUSD,sell,5.0,2025-08-07T14:28:34Z,2025-08-13T23:40:45Z,190.03606,190.14011,-1.5,50.07,B,LP_TEST,USD,CLOSED
T1ES53SKF7I,cTrader,AET8T63J3R,EXT00031,ETHUSD,SELL,20.0,2025-08-11T03:06:22Z,2025-08-12T05:41:23Z,2062.77224,2062.68644,-3.0,-116.05,A,LP_MAIN,USD,CLOSED
T4JWTEKTSG7,MT5,ANFHOLQC3O,EXT00013,XAUUSD.m,BUY,50.0,2025-08-09T13:21:03Z,2025-08-11T06:48:06Z,2073.97839,2075.60103,-5.0,-3020.99,A,LP_MAIN,GBP,CLOSED
TXZV4U3BBXU,cTrader,AA5UOFWB0H,EXT00036,WTI,SELL,0.01,2025-07-22T20:26:25Z,2025-07-27T00:15:18Z,1317.19671,1318.29939,-10.0,-0.86,A,B2Prime,GBP,OPEN
TUWB6TXKI3O,MT5,AMUEKIPU1W,EXT00035,GER40.m,sell,5.0,2025-07-25T14:24:02Z,2025-08-13T05:16:11Z,73.56792,73.5844,-0.5,-3.65,B,LP_TEST,USD,CLOSED
TYFOQMF5L9M,MT5,AU9K9XJUY0,EXT00029,USDJPY,SELL,0.1,2025-08-06T09:12:29Z,2025-08-07T06:32:46Z,207.92788,207.73796,-10.0,1.21,A,B2Prime,GBP,CLOSED
T1SDIEQFB85,cTrader,ADP0LVSNUJ,EXT00009,WTI,SELL,5.0,2025-08-03T17:19:46Z,2025-08-05T07:30:04Z,23.15683,23.14587,-10.0,5.46,A,LP_MAIN,GBP,CLOSED
T8637ZGF9Q5,MT5,AMLY4LYK83,EXT00023,AUDUSD,BUY,10.0,2025-08-04T15:57:12Z,2025-08-07T16:21:02Z,891.38549,887.56255,-1.5,-3080.23,A,LP_MAIN,EUR,CLOSED
TDOQIVBKV4Y,MT5,A8YG0JV1V9,EXT00019,GER40.m,BUY,1.0,2025-08-08T12:16:10Z,2025-08-08T15:43:41Z,1242.06291,1243.51601,-5.0,93.33,B,B2Prime,USD,CLOSED
TADEJNOBBUN,MT5,AF1BCPPVOH,EXT00037,FR40.m,SELL,5.0,2025-07-29T05:42:43Z,2025-08-11T06:26:25Z,107.91542,107.92766,0.0,-2.27,B,,GBP,OPEN
TNQT3WVEDN9,cTrader,AU2GC5WI6F,EXT00029,UKOIL,sell,100.0,2025-07-29T09:02:11Z,2025-07-31T03:57:18Z,2305.89162,2304.22525,-0.5,8663.62,A,LP_MAIN,GBP,CLOSED
TNFVOBBZ2SF,MT5,A8BBI4WIRE,EXT00015,EURUSD,BUY,0.1,2025-08-11T10:42:44Z,2025-08-14T07:10:03Z,949.59769,949.85778,0.0,-1.76,B,LP_TEST,USD,CANCELLED
TLWF90KM3TZ,MT5,AX8BM92H3T,EXT00032,EURUSD,BUY,10.0,2025-08-09T09:23:55Z,2025-08-10T05:50:20Z,889.29864,887.9288,-1.5,-445.9,B,LP_TEST,USD,CLOSED
T3NY9V20YAR,MT5,ARLRMJKV5U,EXT00017,ETHUSD.m,buy,0.05,2025-07-29T22:04:20Z,2025-08-10T10:48:01Z,125.36822,125.16837,-1.5,-0.04,B,B2Prime,GBP,CLOSED
TIBRSZ1N3IU,MT5,AFLU7U6N7H,EXT00015,UKOIL.m,SELL,0.01,2025-08-12T10:45:45Z,2025-08-14T04:54:28Z,1893.1594,1892.28147,-3.0,0.16,A,,GBP,CLOSED
TALFYO1750C,MT5,AY6452H2ZQ,EXT00011,US500.m,sell,100.0,2025-07-20T16:49:43Z,2025-07-29T23:11:30Z,937.38622,936.74502,-5.0,-2773.34,B,B2Prime,USD,CLOSED
THLXSLG6MM1,cTrader,AJT7YE511M,EXT00002,XCUUSD,SELL,5.0,2025-07-22T01:40:07Z,2025-08-03T15:54:24Z,150.8882,151.35537,-10.0,143.75,B,B2Prime,USD,CLOSED
TR8KK791ZYR,cTrader,A0OXFQ8MYX,EXT00027,LTCUSD,SELL,20.0,2025-07-28T04:47:43Z,2025-08-12T00:16:26Z,712.93671,712.83972,2.0,69.85,B,B2Prime,GBP,CLOSED
TU7ZKUT6OM1,cTrader,AWWYZX4W6X,EXT00030,US30,BUY,0.1,2025-08-07T15:48:09Z,2025-08-11T21:28:55Z,1902.25805,1900.53319,-3.0,8.69,B,B2Prime,GBP,CLOSED
TB8C7X0H3JU,cTrader,AA5UOFWB0H,EXT00036,JPN225,buy,0.05,2025-07-22T11:26:53Z,2025-07-29T12:43:56Z,868.84581,869.98309,-3.0,-5.6,B,B2Prime,GBP,CLOSED
TD0IB6IIDLR,cTrader,AA5UOFWB0H,EXT00036,USDJPY,B,0.5,2025-07-28T13:15:11Z,2025-07-31T21:18:13Z,2131.0363,2125.58623,0.0,47.05,A,B2Prime,EUR,CLOSED
T89FX5RX1KK,MT5,AIUC039TEX,EXT00003,NAS100.m,SELL,10.0,2025-07-22T00:57:06Z,2025-07-22T04:03:12Z,2198.08767,2192.69843,-1.5,2311.06,A,LP_MAIN,EUR,CLOSED
TXI04B7P47B,MT5,AFLU7U6N7H,EXT00015,GER40.m,B,500.0,2025-07-18T05:43:13Z,2025-07-22T14:01:58Z,1212.36865,1211.51163,0.0,-33006.33,B,LP_TEST,USD,CLOSED
TR7875AUD9K,MT5,AIUC039TEX,EXT00003,LTCUSD.m,buy,0.5,2025-08-03T15:19:23Z,2025-08-13T04:54:59Z,1214.80273,1214.28778,-0.5,5.86,A,,EUR,CLOSED
TR74QGEFQJG,cTrader,AL1C32OC6U,EXT00001,ETHUSD,sell,1.0,2025-08-10T17:46:55Z,2025-08-13T22:13:28Z,1469.30345,1466.83967,-1.5,-81.85,B,B2Prime,USD,OPEN
TU1G463SDYG,MT5,AZSJ49ITN7,EXT00025,NAS100.m,BUY,200.0,2025-07-31T17:33:18Z,2025-08-07T21:30:08Z,477.67991,478.0798,-10.0,4851.52,A,B2Prime,EUR,CLOSED
TLIJI18K0AX,MT5,AX8BM92H3T,EXT00032,US30.m,SELL,10.0,2025-07-22T04:36:56Z,2025-08-02T18:50:09Z,670.76132,671.95255,2.0,-856.87,B,B2Prime,EUR,CLOSED
TYQFY751YW7,MT5,AWD8IL3FB9,EXT00010,BTCUSD.m,SELL,200.0,2025-07-26T20:06:12Z,2025-07-28T08:22:36Z,2247.82331,2246.52197,-10.0,-1010.11,B,B2Prime,USD,OPEN
THEF0VOTQTX,cTrader,A7D5J60FKH,EXT00007,XAUUSD,BUY,0.1,2025-08-02T05:00:38Z,2025-08-07T13:44:52Z,1225.61048,1222.72088,-5.0,26.56,A,LP_MAIN,USD,CLOSED
TI15CQZCUCT,MT5,AMLY4LYK83,EXT00023,JPN225.m,SELL,50.0,2025-07-25T23:15:32Z,2025-08-13T11:09:27Z,2201.0437,2199.54698,-10.0,4186.28,A,B2Prime,USD,CLOSED
TUFLSEHUDS3,MT5,A9UZFK8UT0,EXT00005,XAUUSD.m,buy,1.0,2025-08-08T21:43:34Z,2025-08-10T03:15:02Z,1973.6597,1971.79922,-0.5,177.62,B,B2Prime,GBP,CLOSED
TSQCQ30O30U,MT5,A1SWJCKJLT,EXT00012,US30.m,SELL,5.0,2025-08-06T09:04:40Z,2025-08-07T23:35:33Z,756.9574,755.42509,-10.0,298.14,B,,EUR,CLOSED
TMC97C7BO11,MT5,AWD8IL3FB9,EXT00010,XCUUSD.m,SELL,20.0,2025-07-17T13:33:27Z,2025-08-07T03:17:02Z,2285.60777,2299.72055,-5.0,7796.33,A,B2Prime,EUR,OPEN
T9N56NYXTXM,MT5,AX8BM92H3T,EXT00032,ETHUSD.m,BUY,0.5,2025-08-04T18:32:53Z,2025-08-09T07:42:03Z,1096.60874,1097.53921,-5.0,-44.54,A,,GBP,CLOSED
TOE9419QZPN,cTrader,AKVPUC8D1W,EXT00021,US30,SELL,0.01,2025-07-24T00:43:40Z,2025-08-06T01:47:12Z,686.59412,685.46755,0.0,0.61,A,,GBP,CLOSED
TQFG51BXW76,cTrader,ACXLL4ZKLO,EXT00010,EURUSD,BUY,50.0,2025-07-26T12:22:08Z,2025-08-01T12:38:18Z,2000.7853,2002.66314,0.0,-8170.31,B,B2Prime,EUR,CLOSED
TCVQY5IBPT1,MT5,AN92XF8E8L,EXT00027,GER40.m,BUY,10.0,2025-07-27T01:11:15Z,2025-08-01T01:19:19Z,1143.7922,1141.62119,-1.5,-448.46,B,B2Prime,USD,CLOSED
TSK30LVYLKF,cTrader,A7D5J60FKH,EXT00007,EURUSD,SELL,0.05,2025-07-18T02:33:11Z,2025-07-24T21:54:22Z,1244.61571,1244.92084,-10.0,1.04,B,B2Prime,EUR,OPEN
TOJUV0GYUBM,cTrader,AJFC2V37PQ,EXT00022,NAS100,SELL,200.0,2025-08-09T16:05:33Z,2025-08-11T00:22:03Z,499.11032,499.02736,0.0,1389.49,A,B2Prime,USD,CLOSED
TSZOKGTII4F,MT5,AK7W1DAKRM,EXT00019,USDJPY,sell,5.0,2025-08-02T20:52:06Z,2025-08-12T09:50:01Z,2390.60927,2395.85269,-5.0,1531.72,B,LP_TEST,GBP,CLOSED
TU8UEIHX74D,MT5,A7HZIOYKL1,EXT00006,WTI.m,BUY,1.0,2025-08-06T20:15:16Z,2025-08-07T13:07:19Z,1139.55074,1142.64968,0.0,-67.74,A,B2Prime,GBP,CLOSED
TJYV5G10UR5,MT5,AN92XF8E8L,EXT00027,WTI.m,BUY,10.0,2025-07-24T14:43:05Z,2025-07-25T20:49:25Z,1542.63592,1538.21098,-1.5,2527.07,A,LP_TEST,GBP,CLOSED
T8A78E9RIVH,MT5,AT0PVN9ER1,EXT00002,USDJPY,SELL,5.0,2025-07-31T12:43:21Z,2025-08-07T21:25:32Z,1214.9745,1211.0541,-10.0,-1777.39,B,B2Prime,GBP,CLOSED
TLKQXLM5Q20,cTrader,AU2GC5WI6F,EXT00029,GBPUSD,sell,0.5,2025-07-26T23:37:54Z,2025-08-09T09:19:28Z,697.2922,697.3029,-0.5,-0.08,B,LP_TEST,EUR,CLOSED
TNOUHFJ7UPF,MT5,AZSJ49ITN7,EXT00025,US30.m,SELL,0.05,2025-07-30T21:53:23Z,2025-08-04T20:18:12Z,2026.19445,2033.21908,2.0,-14.88,A,B2Prime,EUR,CLOSED
TN4RXYJ38XR,MT5,AF1BCPPVOH,EXT00037,UKOIL.m,SELL,50.0,2025-07-31T09:06:43Z,2025-08-05T23:11:27Z,1448.93467,1447.13317,-3.0,-7104.64,,B2Prime,GBP,CLOSED
T2GZR7TXCB4,cTrader,AKVPUC8D1W,EXT00021,USDJPY,sell,1.0,2025-07-23T12:47:51Z,2025-08-10T07:45:05Z,888.06011,888.06981,-10.0,0.21,B,B2Prime,EUR,CLOSED
TO4IZASNWYW,MT5,AF1BCPPVOH,EXT00037,BTCUSD.m,BUY,1.0,2025-07-17T17:18:52Z,2025-07-18T00:50:07Z,725.00508,726.43051,-1.5,-131.76,A,LP_MAIN,USD,CLOSED
TATOAZTKSZP,cTrader,A7KYHQIN9N,EXT00032,EURUSD,SELL,0.05,2025-08-07T19:45:53Z,2025-08-13T17:56:45Z,286.69086,286.57838,-10.0,0.24,B,B2Prime,EUR,OPEN
T7SIWJM2C8Q,cTrader,A9BH811KER,EXT00038,US30,BUY,0.5,2025-07-24T01:39:07Z,2025-07-26T16:04:36Z,2353.62256,2354.80124,-3.0,5.58,A,B2Prime,GBP,CLOSED
TIY4X41DNTC,MT5,A7HZIOYKL1,EXT00006,XCUUSD.m,SELL,0.5,2025-07-27T04:08:55Z,2025-08-13T02:24:05Z,2239.46287,2236.96291,-3.0,73.79,A,B2Prime,EUR,CLOSED
TC4XL9967I6,MT5,A65KXVF1T2,EXT00002,FR40.m,BUY,50.0,2025-07-15T19:48:04Z,2025-07-24T03:33:38Z,730.533,729.02659,-5.0,2143.33,A,LP_MAIN,GBP,CLOSED
TJ7YKTXG4AH,cTrader,A7D5J60FKH,EXT00007,XAGUSD,B,50.0,2025-08-11T21:08:33Z,2025-08-13T07:51:02Z,1954.81864,1957.87144,-0.5,7846.73,B,B2Prime,USD,CLOSED
T337KUU4YTN,MT5,AKTAKPUXQP,EXT00010,ETHUSD.m,BUY,0.5,2025-07-22T08:47:11Z,2025-08-09T15:05:22Z,46.7747,46.66549,-3.0,1.29,B,B2Prime,GBP,CLOSED
T90S9BP4M18,MT5,A8YG0JV1V9,EXT00019,US500.m,SELL,100.0,2025-07-22T03:50:43Z,2025-08-10T08:25:37Z,2358.81534,2361.54714,-1.5,-20849.72,A,B2Prime,USD,CLOSED
TLW2QITNGVN,cTrader,AJT7YE511M,EXT00002,NAS100,BUY,0.01,2025-08-03T14:59:01Z,2025-08-13T00:22:52Z,1279.37894,1280.57411,-10.0,-0.51,A,B2Prime,USD,CLOSED
TZCFZW0LDAL,MT5,AL9XPSEIMV,EXT00003,JPN225.m,SELL,200.0,2025-07-29T16:55:59Z,2025-08-04T16:35:01Z,2222.71625,2224.32779,2.0,-16378.81,B,B2Prime,USD,CLOSED
TDDPUSDDTV2,MT5,A7HZIOYKL1,EXT00006,LTCUSD.m,buy,500.0,2025-08-01T20:07:31Z,2025-08-08T09:21:32Z,831.23718,833.10563,-1.5,-56690.3,A,B2Prime,EUR,CANCELLED
TKND669UGNE,MT5,APJA1WJ0TP,EXT00007,GBPUSD,BUY,0.5,2025-08-03T01:37:32Z,2025-08-03T05:18:12Z,1361.88566,1363.65674,0.0,-23.6,,B2Prime,USD,CLOSED
TRCPPRCJIWV,cTrader,ASKRT05UIR,EXT00004,XCUUSD,SELL,0.1,2025-07-29T23:38:04Z,2025-08-05T12:04:33Z,2221.63262,2217.27268,-5.0,-40.98,A,B2Prime,USD,CLOSED
TDK8LW2LM34,MT5,AP36P6QF5Q,EXT00012,US500.m,SELL,1.0,2025-07-24T20:37:16Z,2025-08-04T23:25:41Z,129.04761,128.759,-0.5,21.62,A,B2Prime,USD,CLOSED
TKVZRGOL0W8,cTrader,AU2GC5WI6F,EXT00029,ETHUSD,BUY,1.0,2025-08-13T05:18:32Z,2025-08-13T10:20:54Z,1260.41048,1262.4824,-10.0,15.93,,B2Prime,USD,CLOSED
TN3OEUVTYT8,MT5,AP5O3O0LLJ,EXT00034,UKOIL.m,sell,0.1,2025-07-27T03:14:09Z,2025-08-04T01:09:41Z,1767.01258,1769.12654,0.0,-17.62,B,B2Prime,GBP,CLOSED
TPKY32ORWIX,MT5,AMLY4LYK83,EXT00023,XAUUSD.m,BUY,20.0,2025-08-06T18:37:11Z,2025-08-09T07:46:03Z,916.39156,914.60362,-5.0,-3390.1,B,LP_TEST,GBP,OPEN
TC9ROS7YT2M,cTrader,A8F840982N,EXT00031,ETHUSD,SELL,5.0,2025-08-04T21:46:15Z,2025-08-09T11:39:38Z,2194.73253,2197.29757,-5.0,607.69,B,B2Prime,USD,CLOSED
TWD1XMXB9YO,cTrader,A9BH811KER,EXT00038,GER40,SELL,1.0,2025-08-10T10:19:54Z,2025-08-14T00:53:46Z,1857.26891,1853.69807,-3.0,53.08,A,B2Prime,EUR,CLOSED
TDDH0UYHNQY,cTrader,A38DIUOVW1,EXT00020,USDJPY,BUY,1.0,2025-07-31T11:07:45Z,2025-08-10T21:58:15Z,483.33732,483.94337,-5.0,-29.85,A,B2Prime,EUR,CLOSED
TMADO8E7FLQ,cTrader,AJT7YE511M,EXT00002,LTCUSD,buy,200.0,2025-08-08T15:52:33Z,2025-08-09T13:54:46Z,562.67219,563.51327,0.0,-3170.73,A,LP_MAIN,GBP,CLOSED
TRRPZLK3E4X,MT5,ANZS43C5BA,EXT00038,US30.m,sell,5.0,2025-07-25T09:48:32Z,2025-08-07T01:27:49Z,613.10268,613.4323,-3.0,-61.29,B,B2Prime,EUR,OPEN
TIGFU8IOGXP,MT5,AZSJ49ITN7,EXT00025,LTCUSD.m,B,0.5,2025-07-23T08:16:39Z,2025-08-10T07:43:38Z,1674.07694,1670.63476,2.0,-170.99,A,LP_MAIN,EUR,CLOSED
TQPAHKZ2U2T,cTrader,A0OXFQ8MYX,EXT00027,GER40,BUY,50.0,2025-07-16T18:48:09Z,2025-07-26T08:47:07Z,1457.9332,1459.16849,-3.0,5585.41,A,LP_MAIN,EUR,OPEN
THEYR8LNOEM,cTrader,AA5UOFWB0H,EXT00036,US30,sell,1.0,2025-08-02T02:58:15Z,2025-08-10T00:57:14Z,1492.81295,1491.13115,-10.0,7.62,B,B2Prime,GBP,CLOSED
TGY27VYLIEN,cTrader,APECQNVQHW,EXT00033,USDJPY,SELL,10.0,2025-08-06T14:14:14Z,2025-08-14T02:08:25Z,2145.17613,2139.78823,2.0,5208.62,B,LP_TEST,EUR,CLOSED
TNVUPRT77GG,cTrader,AKVPUC8D1W,EXT00021,ETHUSD,BUY,200.0,2025-07-22T05:29:08Z,2025-08-03T15:08:45Z,1975.16389,1971.81288,-10.0,8624.51,A,LP_TEST,USD,CLOSED
TG4W58RHNUX,cTrader,AQ3VLI7KQ1,EXT00017,FR40,BUY,50.0,2025-07-29T09:18:28Z,2025-08-01T19:07:11Z,934.43174,934.74709,-3.0,598.75,A,B2Prime,GBP,CLOSED
TRZPGU2HBIK,cTrader,AET8T63J3R,EXT00031,ETHUSD,SELL,10.0,2025-08-04T05:28:01Z,2025-08-12T12:58:57Z,1703.83624,1701.32285,2.0,1851.17,A,B2Prime,USD,CLOSED
T01TEE13N3B,MT5,AY6452H2ZQ,EXT00011,USDJPY,SELL,1.0,2025-08-06T13:36:32Z,2025-08-13T10:26:59Z,967.99481,970.70605,0.0,-194.44,A,B2Prime,GBP,CLOSED
THP0XI5BJ5D,MT5,ATQYYV37DI,EXT00031,US500.m,BUY,100.0,2025-08-05T19:01:13Z,2025-08-12T10:14:25Z,1303.81388,1303.60417,-3.0,-457.55,A,LP_MAIN,USD,CLOSED
TH0Y4VPW232,MT5,AT0PVN9ER1,EXT00002,UKOIL.m,BUY,10.0,2025-07-21T01:33:20Z,2025-08-01T13:42:03Z,1401.57791,1404.29045,-5.0,2421.39,A,LP_TEST,GBP,CLOSED
TTVG9KU8S63,MT5,AC8UYO57P6,EXT00034,EURUSD,BUY,5.0,2025-08-12T00:58:33Z,2025-08-13T02:36:17Z,1019.4498,1018.36719,-10.0,-89.73,,B2Prime,USD,CLOSED
T1OCJXZEFLI,cTrader,AR7TCS4CC5,EXT00006,GER40,BUY,10.0,2025-07-21T22:45:49Z,2025-08-14T07:42:08Z,2195.97121,2199.81261,-3.0,770.4,B,LP_TEST,EUR,CLOSED
TFWWNC21O0Z,cTrader,A7KYHQIN9N,EXT00032,XAGUSD,S,0.5,2025-08-03T10:19:14Z,2025-08-09T08:58:08Z,872.80638,871.72422,-10.0,48.36,B,LP_MAIN,USD,CLOSED
T8LA100QXMC,cTrader,AKVPUC8D1W,EXT00021,USDJPY,BUY,5.0,2025-08-02T06:47:24Z,2025-08-07T19:18:46Z,940.11146,937.14483,-10.0,-1474.5,A,,EUR,CLOSED
THPHJ3MUURM,cTrader,A2DHYLURTP,EXT00018,EURUSD,BUY,0.5,2025-08-10T07:26:26Z,2025-08-12T17:26:43Z,652.81687,655.42487,-5.0,36.36,B,B2Prime,EUR,OPEN
TD2QE4PA8HY,MT5,APJA1WJ0TP,EXT00007,JPN225.m,SELL,0.5,2025-07-17T17:11:31Z,2025-07-19T22:48:09Z,1957.6879,1959.6367,-1.5,-65.51,B,B2Prime,USD,CLOSED
TXF7JXJN6FO,cTrader,A38DIUOVW1,EXT00020,JPN225,BUY,20.0,2025-07-21T18:28:51Z,2025-08-12T04:27:08Z,1541.85301,1540.22066,-0.5,290.94,B,B2Prime,GBP,OPEN
TPDDHCVSQAM,MT5,ATAD1IOR56,EXT00004,JPN225.m,SELL,2.0,2025-07-30T04:44:06Z,2025-08-04T21:13:01Z,1018.30535,1015.67199,-3.0,-493.38,B,B2Prime,USD,CLOSED
T4YRID3DNKN,cTrader,AXEBB9EITN,EXT00032,JPN225,buy,0.01,2025-07-21T05:17:34Z,2025-08-14T05:01:05Z,2226.80581,2232.83313,0.0,6.01,B,LP_TEST,GBP,CLOSED
T9FTAXP0WFO,cTrader,A6CCVCJWTL,EXT00033,EURUSD,BUY,0.5,2025-07-21T19:55:03Z,2025-08-06T09:44:45Z,163.86482,163.83208,-1.5,-0.53,,LP_MAIN,EUR,CLOSED
TDD1VN8LFJD,cTrader,A5GJLQM5K8,EXT00015,XAUUSD,SELL,0.5,2025-08-05T20:12:20Z,2025-08-08T11:33:57Z,2126.05661,2127.35968,-3.0,-64.73,A,B2Prime,USD,CLOSED
T2Y4XKSS0KB,cTrader,AJT7YE511M,EXT00002,UKOIL,sell,0.1,2025-08-11T05:32:41Z,2025-08-12T23:07:21Z,583.63511,584.21437,0.0,4.34,B,B2Prime,GBP,OPEN
TNIWC5AMLN4,MT5,AG8QYNPDPO,EXT00039,XAUUSD.m,SELL,0.5,2025-07-26T23:38:37Z,2025-08-08T00:01:11Z,693.19695,695.25274,0.0,-66.04,B,B2Prime,GBP,CLOSED
